config_name,best_model,f1_macro,experiment_dir
config_1_mean_pooling_mean_fusion,SVM,0.4573553113553114,../experiments/ml_experiment_config_1_mean_pooling_mean_fusion_20251119_001951
config_1_mean_pooling_mean_fusion,SVM,0.3934065934065934,../experiments/ml_experiment_config_1_mean_pooling_mean_fusion_20251119_002502
config_1_mean_pooling_weighted_fusion,Logistic Regression,0.42878787878787883,../experiments/ml_experiment_config_1_mean_pooling_weighted_fusion_20251119_002954
config_2_max_pooling_concat_fusion,SVM,0.5420188507145028,../experiments/ml_experiment_config_2_max_pooling_concat_fusion_20251119_003624
config_2_max_pooling_mean_fusion,Logistic Regression,0.49777777777777776,../experiments/ml_experiment_config_2_max_pooling_mean_fusion_20251119_004125
config_2_max_pooling_weighted_fusion,Logistic Regression,0.4684057971014493,../experiments/ml_experiment_config_2_max_pooling_weighted_fusion_20251119_004621
config_3_last_pooling_concat_fusion,SVM,0.4579710144927536,../experiments/ml_experiment_config_3_last_pooling_concat_fusion_20251119_005226
config_3_last_pooling_mean_fusion,SVM,0.3916505480335267,../experiments/ml_experiment_config_3_last_pooling_mean_fusion_20251119_005719
config_3_last_pooling_weighted_fusion,SVM,0.43346464646464644,../experiments/ml_experiment_config_3_last_pooling_weighted_fusion_20251119_010209
config_4_first_pooling_concat_fusion,Logistic Regression,0.4455757575757576,../experiments/ml_experiment_config_4_first_pooling_concat_fusion_20251119_010819
config_4_first_pooling_mean_fusion,SVM,0.42493148539660164,../experiments/ml_experiment_config_4_first_pooling_mean_fusion_20251119_011314
config_4_first_pooling_weighted_fusion,SVM,0.4320850531582239,../experiments/ml_experiment_config_4_first_pooling_weighted_fusion_20251119_011806
config_5_fewer_layers,Logistic Regression,0.42383838383838385,../experiments/ml_experiment_config_5_fewer_layers_20251119_012333
config_6_more_layers,Logistic Regression,0.4620006080875646,../experiments/ml_experiment_config_6_more_layers_20251119_013043
config_7_first_pooling_concat_fusion,SVM,0.47428904428904434,../experiments/ml_experiment_config_7_first_pooling_concat_fusion_20251119_013746
config_7_first_pooling_mean_fusion,SVM,0.466315510501557,../experiments/ml_experiment_config_7_first_pooling_mean_fusion_20251119_014246
config_7_first_pooling_weighted_fusion,SVM,0.40552429667519185,../experiments/ml_experiment_config_7_first_pooling_weighted_fusion_20251119_014746
